ID,HSuit_1km,Suit_1km,Marg_1km,NotSuit_1km,Cleared_1km,HSuit_2_5km,Suit_2_5km,Marg_2_5km,NotSuit_2_5km,Cleared_2_5km,HSuit_5km,Suit_5km,Marg_5km,NotSuit_5km,Cleared_5km
10048,29.93,6.42,6.53,17.58,39.53,26.32,1.92,6.82,15.6,49.34,19.69,3.57,4.67,12.59,59.48
10049,8.84,2.89,3.37,4.91,79.99,26.39,3.51,4.83,10.06,55.21,24.28,4.59,5.09,11.51,54.53
10050,19.42,0,2.8,1.32,76.47,14.15,1.73,2.81,7.66,73.66,16.3,2.37,4.25,8.8,68.29
10051,41.53,0,9.61,21.43,27.43,35.84,3.03,7.59,11.65,41.89,27.78,6.44,4.96,11.93,48.89
10052,18.31,2.19,2.2,13.65,63.65,14.08,1.38,4.85,9.88,69.82,15.07,2.29,4.02,9.43,69.18
10053,26.64,0.72,2.93,1.81,67.9,16.87,1.9,3.24,9.67,68.32,19.35,2.99,4.68,9.23,63.75
10054,41.32,17.6,16.2,12.29,12.58,25.93,9.51,26.33,14.63,23.61,15.48,2.33,29.16,26.44,26.59
10055,44.88,4.73,22.19,8.79,19.41,29.29,9.94,23.65,8.26,28.85,34.32,8.37,17.44,19.34,20.53
10056,26.92,0.38,23.96,23.1,25.63,25.74,8.74,19.61,27.46,18.46,25.99,6.93,15.49,36.6,15
10057,21.52,15.48,30.42,3.37,29.21,26.07,10.96,27.99,10.43,24.55,17.22,3.45,31.25,18.55,29.54
10058,40.48,15.23,11.28,21.95,11.06,35.31,12.07,18.79,14.64,19.19,26.6,8.23,15.79,33.63,15.75
10059,48.84,3.94,16.53,17.27,13.42,24.33,9.06,27.87,13.74,25,15.17,2.01,29.26,26.94,26.62
10060,6.12,2.19,6.79,21.61,63.28,29.94,11.52,9.52,18.84,30.18,36.11,10.44,6.69,29.67,17.09
10061,53.25,24.01,2.28,18.5,1.96,42.08,15.76,9.72,17.85,14.59,26.15,8.24,13.48,37.91,14.22
10062,46.06,5.43,18.5,12.52,17.49,25.97,6.86,24.9,9.06,33.22,37.47,8.1,11.35,18.14,24.94
10063,55.03,30.9,3.07,3.77,7.23,38.37,13.72,13.45,14.34,20.12,26.74,9.05,14.82,33.16,16.23
10064,58.08,18.29,4.08,17.13,2.43,40.11,16.1,5.05,27.4,11.34,26.75,7.25,11.05,41.85,13.1
10065,23.58,12.66,11.6,1.18,50.98,25.61,12.66,17.62,5.63,38.47,33.24,9.78,11.89,18.86,26.23
10066,19.36,16.25,6.96,2.38,55.05,32.32,18.59,12.92,3.64,32.53,35.32,9.74,9.49,26.51,18.94
10067,31.5,9.97,2.95,20.72,34.86,27.09,7.84,6.38,18.83,39.86,33.33,8.49,7.01,28.82,22.36
10068,35.52,7.25,3.02,25.47,28.75,23.76,6.86,5.97,19.52,43.89,33.93,9.27,7.36,25.14,24.3
10069,41.23,16.19,7.1,12.32,23.16,33.72,7.15,6.06,25.92,27.15,33.52,8.66,7.25,31.9,18.68
10070,39.67,9.45,5.84,14.46,30.59,35.55,9.47,4.37,23.07,27.54,29.95,6.25,8.06,29.58,26.16
10071,19.58,4.32,4.4,18.27,53.43,22.72,5.84,5,17.12,49.32,29.9,7.35,6.82,23.31,32.62
10072,11.52,0,9.16,25.61,53.71,17.67,6.44,14.76,11.97,49.16,23.36,8.56,12.35,18.78,36.96
10073,50.11,20.19,3.78,13.91,12.02,28.24,8.43,6.69,21.91,34.74,25.76,5.72,7.29,25.79,35.44
10074,21.66,12.18,3.99,15.2,46.97,24.86,9.59,4.17,15.78,45.6,22.22,5.2,5.91,22.97,43.71
10075,36.33,9.71,6.61,21.2,26.15,29.75,9.93,6.52,19.55,34.26,22.86,5.14,7.26,24.7,40.04
10076,36.95,23.33,3.74,15.97,20.01,25.82,9.1,4.53,16.45,44.09,24.77,5.46,6.3,24.13,39.34
10077,44.57,4.9,8.57,28.66,13.3,33.58,9.18,7.09,26.74,23.41,24.37,5.31,7.89,26.69,35.74
10078,16.6,15.94,3.3,11.05,53.11,18.32,8.07,3.04,9.24,61.32,24.69,5.73,5.1,21.06,43.42
10079,17.73,4.94,3.94,2.24,71.14,5.1,4.02,5.38,11.71,73.79,3.56,6.96,2.81,17.86,68.81
10080,18.41,5.73,5.94,4.87,65.05,5.37,4.36,10.81,9.66,69.8,5.59,7.07,3.15,17.61,66.58
10081,0.03,9.26,9.6,12.19,68.92,7.78,6.33,11.1,15.88,58.92,9.47,5.06,4.44,15.21,65.82
10082,3.06,6.96,1.81,35.06,53.12,2.58,4.48,2.78,33.25,56.9,4.23,6.42,3.51,31.53,54.31
10083,10.74,11,2.38,21.14,54.75,2.4,7.16,2.8,31.33,56.31,4.42,4.24,6.07,23.75,61.52
10084,3.81,2.29,0.17,77.53,16.2,4.1,5.16,4.34,37.95,48.45,4.78,5.48,3.67,31.92,54.14
10085,3.85,7.48,2.6,13.93,72.15,3.54,5.84,2.13,29.91,58.57,4.78,6.41,3.33,34.18,51.3
10086,1.21,1.75,15.02,20.19,61.83,1.92,2.34,5.85,33.16,56.72,3.87,4.4,6.34,31.71,53.68
10087,9.15,11.37,2.14,39.49,37.85,1.9,6.09,3.28,29.71,59.01,3.62,4,5.75,25.12,61.51
10088,19.97,37.22,1.85,14.51,26.45,10.29,19.13,2.77,14.75,53.06,14.27,15.16,3.43,10.49,56.65
10089,22.92,34.73,10.74,4.05,27.55,20.47,19.66,7.76,9.34,42.76,15.69,14.96,3.24,11.63,54.48
10090,10.88,26.7,7.04,38.02,17.36,14.24,21.66,9.77,27.76,26.57,12.3,11.5,5.54,19.9,50.76
10091,7.68,11.94,28.72,12.96,38.69,6.01,13.42,13.79,18.98,47.8,4.38,9.42,3.9,13.01,69.3
10092,3.86,10.87,29.12,19.34,36.82,7.75,14.35,14.89,15.96,47.05,5.53,7.73,3.96,16.18,66.6
10093,19.34,33.5,2.99,6.56,37.61,9.08,19.75,3.64,10.79,56.74,16.51,14.44,3.79,10.01,55.25
10094,21.28,15.27,0.84,18.13,44.48,9.37,23.99,4.72,14.94,46.99,13.6,15.77,3.17,11.24,56.22
10095,10.21,14.48,2.31,40.99,32,17.69,29.15,4.77,27.12,21.27,19.96,16.29,4.53,21.1,38.12
10096,22.29,26.06,2.79,8.31,40.56,8.31,21.31,4,12.86,53.52,14.9,15.05,3.52,10.52,56.01
10097,20.21,22.3,5.89,39.97,11.63,15.16,19.01,8.5,29.5,27.83,14.95,11.33,5.13,16.96,51.63
10098,14.41,25.58,7.87,30.11,22.04,11.23,20.87,11.97,27.57,28.37,11.22,10.86,5.53,19.67,52.72
10099,10.04,21.55,24.58,9.88,33.95,6.38,14.41,12.96,20.52,45.74,4.3,10.24,3.71,13.13,68.63
10100,18.35,21.27,24.93,9.22,26.23,7.1,16.83,13.5,22.82,39.75,4.86,8.63,4.4,15.89,66.23
10101,13.17,24.99,12.63,23.38,25.84,7.02,17.3,12.18,24.22,39.29,4.4,9.3,4.22,16.28,65.8
10102,24.36,28.06,14.46,12.75,20.37,9.22,19.09,12.97,26.26,32.45,7.76,10.45,5.15,19.1,57.53
10103,23.2,22.05,4.07,18.31,32.36,23.62,25.64,7.3,22.48,20.96,19.07,13.79,4.41,17.57,45.17
10104,46.2,25.3,3.29,9.34,15.87,25.01,25.63,8.82,11.78,28.76,16.16,13.74,3.46,12.75,53.9
10105,36.98,28.18,7.78,4.12,22.94,22.98,22.96,8.26,9.76,36.04,15.15,13.88,3.23,12.43,55.31
10106,35.12,31.21,12.48,5.54,15.65,20.22,22.16,7.53,11.29,38.8,15.47,16.09,3.41,11,54.03
10107,14.06,31.03,14.05,10.88,29.98,16.48,22.04,5.72,12.22,43.54,16.07,16.8,3.65,11.1,52.38
10108,6.01,30.32,0.85,8.57,54.25,12.96,16.78,3.52,11.72,55.02,16.49,13.7,4.45,9.88,55.48
10109,7.71,24.57,4.44,22.13,41.15,8.51,18.83,2.35,15.87,54.44,10.82,14.15,3.17,10.65,61.19
