ID,HSuit_1km,Suit_1km,Marg_1km,NotSuit_1km,Cleared_1km,HSuit_2_5km,Suit_2_5km,Marg_2_5km,NotSuit_2_5km,Cleared_2_5km,HSuit_5km,Suit_5km,Marg_5km,NotSuit_5km,Cleared_5km
274,7.97,5.85,9.69,16.39,60.09,8.4,3.22,20.98,16.59,50.81,10.12,2.29,11.85,19.5,56.24
275,15.49,0.1,18.56,13.78,52.06,10.8,2.01,12.9,14.98,59.31,5.48,1.23,10.38,15.59,67.31
276,0.55,15.36,6.17,19.99,57.93,0.55,12.62,7.23,15.33,64.26,2.8,12.55,5.33,11.47,67.84
278,5.94,5.52,7.51,19.84,61.19,8.2,7.97,7.37,18.73,57.73,3.59,3.37,6.41,17.76,68.88
280,0.84,3.43,5.01,23.69,67.03,0.5,9.66,6.07,15.52,68.24,3.11,7.03,5.23,10.73,73.9
281,1.7,5.16,7.56,46.01,39.58,1.34,7.25,9.36,42.28,39.78,4.88,16.35,10.07,22.91,45.79
282,1.37,12.12,12.48,42.99,31.04,1.65,22.02,14.78,35.97,25.58,4.84,20.64,10.16,22.87,41.49
284,0.17,0,4.39,19.8,75.64,7.3,6.11,7.77,22.61,56.21,6.42,10.8,9.62,24.94,48.22
285,5.58,1.67,4.12,7.91,80.73,8.76,7.52,9.42,22.56,51.73,6.74,11.67,9.59,24.61,47.39
286,5.13,1.92,7.4,49.86,35.68,2.41,3.99,7.57,41.9,44.13,5.13,15.67,10.65,22.81,45.73
287,0.26,0,5.04,25.78,68.93,0.86,1.03,5.88,31.5,60.73,3.99,6.77,7.28,24.45,57.52
289,0.71,13.08,4.02,1.29,80.89,1.06,17.78,6,7.38,67.77,0.89,20.51,7.01,19.09,52.49
298,1.16,6.8,2.8,9.75,79.49,0.51,14.48,4.41,17.43,63.18,1.04,22.05,4.94,18.92,53.04
299,1.71,19.97,6.23,5.68,66.41,0.57,18.06,5.82,10.06,65.49,1.06,19.08,5.62,15.83,58.4
300,1.51,19.71,4.12,13.86,60.79,0.58,18.21,4.11,12.96,64.14,1,21.77,5.27,18.8,53.17
301,0,0,4.74,28.61,66.65,1.22,5.95,6.22,19.19,67.43,3.07,12.74,5.62,16.26,62.31
302,0.85,29.3,2.17,14.29,53.38,0.81,25.57,3.9,8.58,61.15,0.83,22.69,5.38,19.21,51.88
308,1.05,15.1,19.63,24.32,39.9,0.38,9.02,9.24,17.61,63.74,0.37,7.88,6.86,15.6,69.29
309,0.99,2.92,5.07,7.81,83.21,0.54,6.81,7.75,7.74,77.17,0.55,18.65,7.61,18.49,54.7
310,0.48,7.49,10.58,24.23,57.21,1.07,13.24,10.17,19.4,56.12,0.53,20.49,6.58,20.47,51.94
312,0,0.34,2.31,2.88,94.46,0.45,6.06,10.11,17.35,66.03,0.67,10.41,7.63,16.63,64.66
313,0,0.06,6.6,23.45,69.89,0.05,0.2,10.24,28.91,60.6,0.25,1.26,8.46,21.4,68.64
314,0,13.9,10.34,3.93,71.83,0.58,5.52,7.23,8.49,78.18,0.47,12.14,6.14,13.38,67.88
315,0,0,12.39,27.37,60.24,1.26,0.37,9.42,26.59,62.35,0.43,0.93,8.45,20.28,69.91
318,0,0,7.29,20.64,72.07,0.15,0,8.48,16.49,74.88,0.3,0.43,7.84,15.32,76.12
319,0,0,5.59,2.93,91.48,0.11,0,4.39,7.51,87.99,1.09,0.33,6.04,12.51,80.03
322,0,0,3.4,3.33,93.27,0.1,0,4.66,7.93,87.31,0.47,0.33,6.68,12.89,79.63
324,0.82,0,7.53,20.99,70.65,0.85,0.1,8.84,21.18,69.05,0.8,0.53,8.03,16.14,74.5
325,13.93,5.95,5.58,14.12,60.43,4.57,2.4,5.75,15.04,72.24,2.3,1.39,7.92,20.26,68.13
326,0.8,0,8.91,37.7,52.59,0.25,0.01,9.28,22.69,67.77,0.34,0.25,7.94,16.78,74.69
327,4.71,0,10.74,26.32,58.22,5.56,0.43,13.96,16.94,63.12,3.54,0.87,9.88,14.01,71.7
329,0,0,3.31,4.56,92.13,3.1,0.06,10.01,13.85,72.98,3.09,0.67,9.83,13.28,73.14
330,0,0,5.13,5.82,89.05,0.05,0,4.11,5.46,90.38,2.18,0.7,9.39,14.14,73.58
331,0.41,0,10.44,42.41,46.74,1.56,0.33,18.14,21.62,58.35,3.69,1.08,11.45,15.52,68.26
332,0,0,4.41,2.95,92.64,0.36,0,4.32,5.9,89.42,1.29,0.53,8.07,14.56,75.55
334,0,0,2.6,3.93,93.47,0.21,0.01,6.68,15.08,78.01,2.53,0.69,9.55,12.92,74.31
336,2.99,0.09,1.62,6.11,89.19,4.22,2.67,2.92,15.93,74.27,5.03,5.99,7.77,27.74,53.47
337,15.67,13.48,7.62,23.64,39.59,8.5,11.34,4.72,20.94,54.49,7.22,12.57,7.43,20.46,52.31
338,17.76,12.79,4.2,27.02,38.23,7,10.73,4.71,20.01,57.54,8.21,12.28,6.84,20.7,51.96
339,2.01,0.13,0.82,14.89,82.15,2.23,0.73,5.03,22.45,69.56,4.27,4.32,7.75,31.36,52.31
340,15.74,26.33,14.62,16.4,26.91,3.27,2.4,2.94,15.02,76.38,5.51,6.28,8.55,29.39,50.26
341,3.56,0.76,4.19,10.01,81.49,12.56,30.04,8.31,16.78,32.31,12.15,21.02,8.96,21.62,36.25
345,18.79,45.12,13.32,11.95,10.81,14.97,34.82,7.93,13.71,28.57,11.26,20.75,7.65,20.24,40.11
347,22.03,33.65,15.41,10.91,18,11.17,32.31,9.21,16.66,30.66,11.44,22.43,8.95,21.12,36.06
349,5.43,17.77,10.4,20.54,45.85,10.48,21.19,10.73,23.09,34.51,12.85,21.88,10.65,24.41,30.21
350,6.92,14.7,14.76,26.75,36.87,12.31,19.26,10.74,25.7,32,11.95,19.72,10.69,24.49,33.15
351,2.13,9.32,8.06,36.56,43.93,12.84,20.26,14.69,28.27,23.93,12.32,20.39,11.04,24.46,31.79
354,0.62,0.23,8.1,29.05,62,1.2,0.8,8.58,34.99,54.43,3.19,2.76,8.7,35.55,49.8
355,15.5,23.21,16.8,24.13,20.36,13.32,15.72,11.79,24.45,34.72,10.26,16.84,10.52,25.29,37.09
356,8.84,10.73,5.81,22.69,51.92,7.69,11.45,7.56,26.54,46.76,12.29,18.53,10.52,26.12,32.54
358,16.01,13.9,6.28,17.18,46.63,8.75,20.85,11.95,21.46,36.99,5.93,15.91,8.5,21.53,48.13
359,0.81,4.68,3.1,13.08,78.32,2,11.96,2.43,20.09,63.53,3.47,14.3,7.01,23.92,51.29
360,0.96,0.15,2.17,9.37,87.35,1.09,1.55,3.28,18.63,75.44,2.62,9.64,6.99,26.54,54.21
361,6.91,37.34,20.65,30.14,4.96,11.6,31.7,20.98,21.1,14.62,7.43,23.28,11.91,24.68,32.7
362,4.94,37.04,22.79,29.75,5.5,8.09,32.03,24.79,26.83,8.26,6.63,25.26,11.13,22.21,34.77
363,4.36,30.29,2.39,44.31,18.65,4.41,26.49,11.1,24.21,33.78,5.66,21.5,8.28,20.52,44.03
364,5.01,21.53,12.8,36.38,24.28,4.66,33.05,8.35,26.68,27.26,6.11,22.9,9.17,22.72,39.09
367,2.85,7.99,2.26,22.49,64.4,2.94,13.15,3.15,19.28,61.46,3.97,13.85,6.37,22.34,53.47
368,0.95,1.32,3.43,13.47,80.82,1.19,6.26,2.41,20.28,69.87,2.86,11.65,6.28,25.9,53.32
369,22.43,13.5,8.4,15.99,39.69,9.08,22.83,13.12,21.22,33.73,6.12,16.58,8.78,21.96,46.57
370,18.39,14,23.78,21.41,22.42,8.84,24.47,15.15,21.14,30.39,6.2,17.75,9.28,22.66,44.1
373,0.16,1.86,14.17,51.56,32.26,0.42,1.56,18.85,42.15,37.02,3.02,1.87,18.42,40.59,36.1
374,0,1.75,23.91,42.63,31.71,0.35,1.26,18.98,38.98,40.43,2.59,1.66,18.73,38.97,38.05
379,4.67,6.43,7.29,45.82,35.79,8.65,7.47,13.5,35.66,34.72,14.32,10.05,15.25,32.93,27.45
382,0,0.67,23.25,43.81,32.27,0.11,0.84,15.85,38,45.2,1.55,1.44,18.12,38.97,39.92
383,4.84,8.83,7.52,16.96,61.85,2.35,4.3,5.25,18.37,69.72,7.64,7.6,10.87,29.23,44.65
385,6.07,8.05,5.27,17.92,62.69,2.51,4.5,5.83,23.34,63.83,8.77,8.09,13.21,31.35,38.57
387,28.73,14.03,27.76,29.44,0.05,18.5,12.99,21.27,39.1,8.15,19.14,11.01,15.57,38.17,16.11
388,1.42,8.54,6.13,29.71,54.2,4.7,7.92,12.54,31.97,42.87,9.87,9.53,11.88,30.47,38.26
389,19.74,6.97,11.57,33.08,28.65,13.41,10.66,17.19,38.11,20.63,14.57,11.46,18.23,36.74,18.99
399,0,0,8.1,47.85,44.06,0.39,0.01,9.02,45.85,44.73,0.36,0.07,6.92,37.79,54.86
400,0.04,0,4.4,17.2,78.35,0.06,0.09,3.62,31.73,64.51,0.29,0.11,5.34,29.71,64.55
401,0.63,0.01,16.07,50.29,32.99,0.5,0.01,9.57,47.69,42.23,0.46,0.07,8.52,41.37,49.59
403,0.32,0,3.22,20.16,76.3,0.18,0,5.71,34.21,59.9,0.23,0.02,6.14,32.87,60.73
404,0.01,0,3.37,14.47,82.14,0.16,0,5.78,35.52,58.53,0.19,0.03,5.94,33.99,59.85
405,2.3,0,5.13,45.51,47.06,0.74,0,7.58,41.23,50.45,0.26,0.01,8.1,39.27,52.36
406,0,0,17.42,52.76,29.82,0.32,0,13.39,48.16,38.14,0.5,0.28,11.07,46.08,42.07
407,0.09,0,13.57,40.68,45.67,0.41,0,5.13,35.58,58.88,0.22,0.01,7.64,36.19,55.94
408,2.24,0,3.25,39.23,55.28,0.76,0,10.07,47.37,41.8,0.26,0.01,8.39,40.4,50.93
412,0,0,19.02,46.95,34.04,0.33,0.13,14.51,47.14,37.9,0.37,0.33,11.7,43.65,43.95
414,1.66,0,22.4,38.18,37.76,0.58,0.01,12.77,43.69,42.95,0.21,0.14,10.13,40.34,49.18
415,40.36,7.2,16.82,35.62,0,31.4,10.7,18.79,38.15,0.96,22.58,11.27,19.7,41.92,4.52
416,58.07,5.24,18.59,18.09,0,35.19,13.14,17.83,33.54,0.3,23.68,11.89,19.4,40.57,4.46
419,57.26,21.78,14.17,6.72,0.07,29.77,10.86,19.77,38.63,0.96,21.33,11.34,19.32,42.01,6
420,36.95,21.72,14.39,23.12,3.82,25.83,9.98,18.95,42.67,2.56,19.19,10.02,19.61,42.75,8.43
421,10.67,4.69,40.61,44.03,0,30.58,10.34,23.3,35.48,0.3,24.63,9.61,18.99,42.95,3.81
423,26.96,17.24,27.48,28.32,0,23.23,10.21,24.33,41.95,0.28,23.75,8.58,18.79,42.38,6.51
425,0.01,0,4.48,19.89,75.62,0.09,0,5.31,34.99,59.62,0.23,0.03,5.87,33.06,60.8
999,0.98,1.57,3.48,16.24,77.72,1.69,10.51,2.14,20.14,65.51,3.2,13.62,6.48,24.36,52.34
1644,19.58,0,22.31,30.59,27.53,7.97,1.77,17.39,18.49,54.38,4.12,0.89,10.4,15.12,69.47
